year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2014,Delaware,43263,3645,4905,7668,2073,2326,2328,3466,9842,2698,4312
2014,Florida,961567,86938,88466,177031,49308,80735,41424,55469,183877,52170,146149
2014,Georgia,459259,39187,42685,91413,23640,24046,22630,33282,104319,27943,50114
2014,Hawaii,64162,3760,6018,11250,4354,7125,2858,4488,8584,2097,13628
2014,Idaho,81516,10077,9377,15155,5645,5599,3807,6828,13494,3182,8352
2014,Illinois,471443,46781,49211,87457,21500,31166,22922,35480,90771,24714,61441
2014,Indiana,335681,37150,29541,65256,15042,18603,22235,28286,70075,15546,33947
2014,Iowa,124817,14208,15330,24195,4869,7636,7109,11282,23119,4949,12120
2014,Kansas,137291,13090,15468,26791,5424,6981,9534,13563,27979,5229,13232
2014,Kentucky,300132,28438,27747,64237,16164,14312,14907,22908,71779,14251,25389
2014,Louisiana,272810,31227,24483,54321,10815,16225,15884,20271,59596,14947,25041
2014,Maine,88452,8973,9073,21658,3880,4050,4220,7300,20596,2439,6263
2014,Maryland,234441,27697,25698,40615,8835,14803,12483,19050,43937,11391,29932
2014,Massachusetts,318812,28080,34900,67139,12496,20137,13199,25980,65912,14723,36246
2014,Michigan,566850,57409,57053,118748,24266,30159,29337,46716,126968,22978,53216
2014,Minnesota,231422,26032,26498,45760,8659,13220,14056,21371,44247,8653,22926
2014,Mississippi,186799,15056,16644,36906,9621,12527,6352,12593,44323,10676,22101
